Investigador,Nombre del producto,Tipo,Autores,Lugar,Año,Palabras,Área,Sectores
Maximiliano Machado Higuera,"Utilización de la herramienta de Microsoft Excel y Matlab en el estudio de las secciones cónicas,", Softwares - Computacional,"MAXIMILIANO MACHADO HIGUERA, ANDRES GALINDO, DENNIS MARTINEZ DUQUE", Colombia,2003,,"Ciencias Naturales -- Matemática -- Matemáticas Aplicadas,",
Luz Adriana Sánchez Echeverri,"Software para el manejo y monitoreo remotos a través de Internet de la práctica física maquina de ATWOOD,", Softwares - Computacional,"LUZ ADRIANA SANCHEZ ECHEVERRI, ASTRID LORENA GIRALDO BETANCUR, CRISTIAN MARDOR MOLINA GONZALEZ, EDIXON HERNANDO TOVAR BUSTOS, CESAR AUGUSTO BEDOYA RESTREPO, NILSON OLAYA GOMEZ, HERNAN MAURICIO RIOS LOPEZ, ALFONSO DEVIA CUBILLOS", Colombia,2004,"Software,","Ciencias Naturales -- Ciencias Físicas -- Física de Plasmas y Fluídos,",
