Investigador,Línea,Activa
ALFREDO JOSE TORRES BENITEZ,Genética de la Conservación,Si
ALFREDO JOSE TORRES BENITEZ,Taxonomía Vegetal,Si
ALFREDO JOSE TORRES BENITEZ,Suelos,Si
ALFREDO JOSE TORRES BENITEZ,Ciencias Básicas Aplicadas,Si
Miguel César Moreno Palacios,Ornitología,Si
Miguel César Moreno Palacios,Biología de fauna silvestre en cautiverio,No
Miguel César Moreno Palacios,Diversidad florística del bosque seco tropical,No
Miguel César Moreno Palacios,Ecología de Aves,Si
Miguel César Moreno Palacios,Anillamiento y monitoreo de Aves,Si
Miguel César Moreno Palacios,Biología Evolutiva,Si
Miguel César Moreno Palacios,Liquenología y bioindicación,Si
Juan Sebastian Trujillo Hernandez,Metalurgia y Transiciones de Fase,Si
Juan Sebastian Trujillo Hernandez,Agricultura de Precisión,Si
Juan Sebastian Trujillo Hernandez,Espectrocopia Mossbauer,Si
Juan Sebastian Trujillo Hernandez,Espectroscopia Laser,Si
Juan Sebastian Trujillo Hernandez,Nanotecnologia,Si
Juan Sebastian Trujillo Hernandez,Ciencias en Nuevos Materiales Magneticos,Si
