Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Blanca Myriam SALGUERO LONDOÑO,III Encuentro de química, Congreso,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1997
Blanca Myriam SALGUERO LONDOÑO,Seminario de Resonancia Magnética Nuclear, Seminario,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1998
Blanca Myriam SALGUERO LONDOÑO,"VIII Encuentro de Química  ""La Química en el Ambiente, la Educación y la Sociedad"".", Congreso,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2002
Blanca Myriam SALGUERO LONDOÑO,3 Encuentro Nacional de Profesores de Ciencias Exactas y Naturales, Encuentro,IBAGUÉ   - Universidad de Ibagué,Nacional,Ninguno,"UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2010
Blanca Myriam SALGUERO LONDOÑO,Curso de Agreoecología Tropical, Otro,Turrialba   - Turrialba,Internacional,Ninguno,"Centro Agronomico Tropical De Investigacion Y Enseñanza: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2008
Blanca Myriam SALGUERO LONDOÑO,Seminario Taller de Nematodos de Vida Libre como Indicadores de Calidad y Salud de Suelos, Seminario,Turrialba   - CATIE-Turrialba,Internacional,Ninguno,"Centro Agronomico Tropical De Investigacion Y Enseñanza: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2005
Blanca Myriam SALGUERO LONDOÑO,Taller de Redacción Científica, Taller,IBAGUÉ   - Universidad de Ibagué,Nacional,Ninguno,"UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2011
Blanca Myriam SALGUERO LONDOÑO,Congreso Nacional de Ciencias Biológicas, Congreso,IBAGUÉ   - Jardín Botánico de Medellín,Nacional,"ESTUDIO ETNOBOTÁNICO de las principales especies vegetales utilizadas por la Comunidad Campesina del municipio de Rivera, Huila. 1995-1996: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo
","UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Asistente
",1997
Blanca Myriam SALGUERO LONDOÑO,Semana de Investigación Universitaria, Otro,IBAGUÉ   - Universidad de Ibagué,Nacional,"Relicto de Bosque: Recurso para el Desarrollo de la Sensibilizacion y Conservación de la Biodiversidad-Universidad de Ibagué: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2012
Blanca Myriam SALGUERO LONDOÑO,XVI Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso,Panamá   - Universidad de Panamá,Internacional,"Dinámica poblacional de Jacana spinosa en un Lago Artificial en Turrialba, Costa Rica: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2012
Blanca Myriam SALGUERO LONDOÑO,XLVI Congreso Nacional de Ciencias Biológicas, Congreso,MEDELLÍN   - Jardín Botánico Joaquin Antonio Uribe,Nacional,"CARACTERIZACIÓN DE NEMATODOS DE VIDA LIBRE COMO BIOINDICADORES DE CALIDAD Y SALUD DE SUELOS BANANEROS EN COSTA RICA: Producción técnica - Presentación de trabajo - Ponencia
","Catie: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2011
Blanca Myriam SALGUERO LONDOÑO,XIX Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso,Villahermosa   - Universidad Juárez Autónoma de Tabasco,Internacional,"Evaluación de la Sostenibilidad de Cafetales en Líbano aplicando un método Agroecológico: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2015
Blanca Myriam SALGUERO LONDOÑO,Semana de Investigación Universitaria, Seminario,IBAGUÉ   - Universidad de Ibagué,Nacional,"Evaluación de nematodos de vida libre como indicadores de calidad y salud de suelos cafeteros: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2015
Blanca Myriam SALGUERO LONDOÑO,Congreso Colombiano de Ecología, Congreso,"BOGOTÁ, D.C.   - Pontificia Universidad Javeriana",Nacional,"Evaluación de grupos tróficos de nematodos de vida libre en suelos cafeteros en Líbano y Villahermosa: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2016
Blanca Myriam SALGUERO LONDOÑO,XXI Congreso de la Sociedad Mesoamericana para la Biología y la Conservación, Congreso,San José   - Hotel Crowne Plaza Corobicí,Internacional,"Evaluación de nutrientes y descomposición de hojarasca en fragmentos de Bosque Seco Tropical, Tolima: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2017
Blanca Myriam SALGUERO LONDOÑO,XVI Congreso De la Sociedad Mesomericana para la Biología y la Conservación, Congreso,Panamá   - Universidad de Panamá,Internacional,"Dinámica Poblacional de Jacana spinosa en un lago artificial en Turrialba, Costa Rica: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2012
Blanca Myriam SALGUERO LONDOÑO,III Taller de productores de café con buenas prácticas agrícolas  de la vereda el Paraíso del municipio de Líbano para evaluar la resiliencia de los sistemas agrícolas, Taller,LÍBANO   - Finca el Refugio,Nacional,"DIAGNÓSTICO RURAL RÁPIDO PARA EVALUAR LA RESILIENCIA AL CAMBIO CLIMÁTICO DEL AGROECOSISTEMA EL REFUGIO, LÍBANO-TOLIMA: Producción técnica - Presentación de trabajo - Comunicación
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Compilador de memorias , Organizador
",2018
Blanca Myriam SALGUERO LONDOÑO,II Taller de productores de café con buenas prácticas agrícolas  de la vereda Calambeo del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller,IBAGUÉ   - Finca Gaia,Nacional,"Evaluación de vulnerabilidad y resiliencia en al agroecosistema Gaia, vereda Calambeo, municipio de Ibagué.: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2018
Blanca Myriam SALGUERO LONDOÑO,I Taller de productores café y banano orgánico de la vereda Perico del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller,"IBAGUÉ   - Finca Bellavista, vereda Perico, municipio de Ibagué",Nacional,"Evaluación de vulnerabilidad y resiliencia en los agroecosistemas Bellavista,el Encanto,el Placer y la Floresta vereda Perico, municipio de Ibagué: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2017
Blanca Myriam SALGUERO LONDOÑO,"I Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2012", Encuentro,"LÍBANO   - Sede del comité departamental de cafeteros del Tolima, Líbano. Tolima",Nacional,"Aplicación de un método agroecológico para la evaluación de sostenibilidad en cafetales en el municipio del Líbano: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2012
Blanca Myriam SALGUERO LONDOÑO,"II Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2013", Encuentro,IBAGUÉ   - Auditorio de Derecho-Universidad de Ibagué,Nacional,"Evaluación de la sostenibilidad en sistemas productivos de café del municipio del Líbano, Tolima: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2013
Blanca Myriam SALGUERO LONDOÑO,"III Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2014", Encuentro,"LÍBANO   - Auditorio comité municipal de cafeteros del Líbano, Tolima",Nacional,"Evaluación de calidad del suelo y salud del cultivo en sistemas productivos cafeteros, Líbano - Tolima.: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2014
Blanca Myriam SALGUERO LONDOÑO,"IV Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2015", Encuentro,LÍBANO   - Universidad de Ibagué,Nacional,"Aplicación de indicadores de calidad de suelo y salud del cultivo en dos sistemas de producción de café, Líbano-Tolima: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2015
Blanca Myriam SALGUERO LONDOÑO,"Seminario de sistemas integrados de producción en Fresno, Tolima, mayo 2016", Seminario,FRESNO   - Universidad de Ibagué,Nacional,"Evaluación de sostenibilidad mediante la aplicación de indicadores de calidad del suelo y salud del cultivo, Fresno - Tolima: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2016
Maximiliano Machado Higuera,Congreso Nacional de Matemáticas Asistidas por Computador - 2003, Congreso,MANIZALES   - Unversidad de Caldas,Nacional,Ninguno,"UNIVERSIDAD DE CALDAS: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Organizador
",2003
Maximiliano Machado Higuera,Congreso nacional de ciencias biológicas - 1998, Congreso,IBAGUÉ   - Colegio Champagnat,Nacional,Ninguno,"ACCB (asociación colombiana de ciencias biológicas): Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Organizador
",1998
Maximiliano Machado Higuera,"IV Encuentro internacional y VI Encuentro Departamental de Matemática Educativa, Julio 5 -8 de 2005", Congreso,IBAGUÉ   - Colegio Leonidas Rubio,Nacional,Ninguno,"Colegio Leonidas Rubio: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Organizador
",2005
Maximiliano Machado Higuera,Taller de Método y Redacción Científica, Taller,"IBAGUÉ   - Universidad De Ibagué, Ibagué.",Nacional,Ninguno,"UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Organizador
",2011
Maximiliano Machado Higuera,Primer encuentro nacional de matemáticas y estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,"Las ecuaciones diferenciales en los procesos químicos: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo
","UNIVERSIDAD DEL TOLIMA: Gestionadora
UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Asistente , Ponente
",2011
Maximiliano Machado Higuera,Congreso nacional de ingeniería aplicada CNIA 2012, Congreso,IBAGUÉ   - Centro de convenciones Alfonso López Pumarejo - Gobernación del Tolima,Nacional,"Modelo matemático para la simulación de la producción de metano en un reactor Batch: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2012
Maximiliano Machado Higuera,"IV Congreso Internacional de matemática educativa, tecnología computacional 2012", Congreso,IBAGUÉ   - Universidad de Ibagué,Internacional,"Modelación matemática de fenómenos en ciencias naturales: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2012
Maximiliano Machado Higuera,III Encuentro nacional de matemáticas y estadística 2013, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,"Una aplicación del análisis dimensional a las ecuaciones diferenciales ordinarias: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Completo
","UNIVERSIDAD DEL TOLIMA: Gestionadora
","MAXIMILIANO MACHADO HIGUERA: Asistente , Ponente
",2013
Maximiliano Machado Higuera,IV Encuentro nacional de matemáticas y estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,"Existencia de super y sub soluciones en orden inverso con respecto a una parte de las variables en un sistema de ecuaciones diferenciales ordinarias no lineales, que modela la producción de biogás: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DEL TOLIMA: Gestionadora
Universidad Veracruzana: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2014
Maximiliano Machado Higuera,International Conference on Algebraic Methods in Dynamical System Conference AMDS-2014, Congreso,BARRANQUILLA   - Universidad del Norte - Universidad del Atlantico,Internacional,"An application Abel's equation of first kind in a model of anaerobic digestion for production of biogas: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
Universidad Veracruzana: Patrocinadora
FUNDACIÓN UNIVERSIDAD DEL NORTE: Gestionadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2014
Maximiliano Machado Higuera,XX Congreso Colombiano de Matemáticas 2015, Congreso,MANIZALES   - UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MANIZALES - Campus la Nubia,Nacional,"UN MODELO DE DIGESTIÓN ANAEROBIA PARA LA PRODUCCIÓN DE BIOGÁS USANDO LA ECUACIÓN DE ABEL: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2015
Maximiliano Machado Higuera,VI Encuentro Nacional de Matemáticas y Estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,"Caracterización de los equilibrios en un modelo matemático de Digestión Anaerobia: Producción técnica - Presentación de trabajo - Ponencia
Algebrización Hamiltoniana en un modelo matemático para la producción de biogás: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2016
Maximiliano Machado Higuera,VII Congreso Internacional de Métodos Numéricos en Ingenierías, Congreso,Guadalajara   - Centro Universitario de Ciencias Exactas e Ingenierías CUCEI,Internacional,"Una Alternativa Numérica en la Solución de un Sistema que Modela la Producción de Biogás: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2017
Maximiliano Machado Higuera,XIII Taller y Simposio Latinoamericano de Digestión Anaerobia (DAAL XIII), Simposio,MEDELLÍN   - Jardin Botánico Joaquín Antonio Uribe,Internacional,"Estimation Of Kinetic Parameters In A Mathematical Model Of Anaerobic Digestion For Biogas Production: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","HECTOR MAURICIO HERNANDEZ SARABIA: Ponente
LILIANA ROCIO DELGADILLO MIRQUEZ: Ponente
MAXIMILIANO MACHADO HIGUERA: Ponente
",2018
Maximiliano Machado Higuera,"XVIII Congreso Latinoamericano de Control Automático, CLCA 2018", Congreso,Quito   - Quito,Internacional,"Optimizing the Biogas production of an anaerobic reactor throghout Model Predictive Control: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","JAIRO ANDRES HERNANDEZ NARANJO: Ponente
MAXIMILIANO MACHADO HIGUERA: Ponente
",2018
Maximiliano Machado Higuera,Semana de Investigación Universitaria SIU 2017, Encuentro,IBAGUÉ   - Universidad de Ibagué,Nacional,"La Teoría De Galois En La Digestión Anaerobia: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","MAXIMILIANO MACHADO HIGUERA: Ponente
",2017
Maximiliano Machado Higuera,XII Congreso Colombiano de Métodos Numéricos, Congreso,"BOGOTÁ, D.C.   - Universidad San Buenaventura sede Bogotá",Internacional,"Métodos Numéricos en la producción de biogás: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","HERNAN JAVIER HERRERA SUAREZ: Ponente
MAXIMILIANO MACHADO HIGUERA: Ponente
",2019
Edison Humberto Osorio López,Encuentro Nacional de Investigación - FUNLAM 2015, Congreso,MEDELLÍN   - Fundación Universitaria Luis Amigó,Nacional,Ninguno,"UNIVERSIDAD CATOLICA LUIS AMIGO: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente
",2015
Edison Humberto Osorio López,Encuentro Nacional de Investigación - FUNLAM 2014, Congreso,Toronto   - Fundación Universitaria Luis Amigó,Nacional,Ninguno,"UNIVERSIDAD CATOLICA LUIS AMIGO: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente
",2014
Edison Humberto Osorio López,43rd Cogress Paris CHITEL 2017, Congreso,Paris   - University of Pierre and Marie Curie,Internacional,"Theoretical design of new metal hydrides NiMg3AlH2n- , n = 1-6: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD CATOLICA LUIS AMIGO: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente
FRANKLIN FERRARO GOMEZ: Ponente
",2017
Edison Humberto Osorio López,"Current Topics in Theoretical Chemistry,  CTTC 2016", Congreso,"Trujillo   - Trujillo, peru",Internacional,"Stabilization of Al3C2Hn(n =1-6) carbides: transformation from two to three dimensions toward two structures with planar tetracoordinates carbons.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD CATOLICA LUIS AMIGO: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente
",2016
Edison Humberto Osorio López,V Congreso Colombiano de Biología Computacional, Congreso,IBAGUÉ   - Universidad del Tolima,Nacional,"Estrategias de la química computacional para predecir teóricamente modos de acción de potenciales moléculas antioxidantes.: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DEL TOLIMA: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente magistral
",2019
Edison Humberto Osorio López,Semana de Investigación Universitaria 2020, Encuentro,IBAGUÉ   - Universidad de Ibagué,Nacional,"Análisis teórico de sensores químicos: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","EDISON HUMBERTO OSORIO LOPEZ: Ponente
",2020
Jorge Enrique GARCIA MELO,XXXIV Congreso Nacional de Ciencias Biológicas, Congreso,CALI   -,Nacional,"Preferencia alimenticia en individuos adultos del cardenal pico de plata (Ramphocelus dimidiatus): Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
","Asociación Colombiana De Ciencias Biológicas - A.C.C.B.: Patrocinadora
","JORGE ENRIQUE GARCIA MELO: Organizador
",1999
Jorge Enrique GARCIA MELO,XXXVII Congreso Nacional de Ciencias biológicas, Congreso,PASTO   - Universidad de Nariño,Nacional,"CARACTERIZACIÓN ANTIGÉNICA DE CEPAS DE Trypanosoma rangeli AISLADAS EN CICLOS DE TRANSMISIÓN DOMÉSTICO Y SILVESTRE EN ÁREAS ENDÉMICAS DE COLOMBIA.: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
Análisis molecular de cepas colombianas de Trypanosoma rangeli aisladas de Rhodnius prolixus y R. colombiensis utilizando AP-PCR. Pasto, Colombia.: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
CARACTERIZACIÓN MOLECULAR DE KDNA Y DEL ESPACIADOR NO TRANSCRITO DEL GEN MINI-EXÓN EN CEPAS DE Trypanosoma rangeli AISLADAS DE Rhodnius ecuadoriensis EN EL NORTE DEL PERÚ: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
CARACTERIZACIÓN BIOLÓGICA, BIOQUÍMICA, GENÉTICA Y MOLECULAR DE LA TRIPANOSOMOSIS AMERICANA Y SUS VECTORES: UN DESAFÍO PARA LA COMUNIDAD CIENTÍFICA NACIONAL E INTERNACIONAL.: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
ESTUDIO COMPARATIVO DE LA CAPACIDAD VECTORIAL DE DOS ESPECIES DE TRIATOMINOS (HEMIPTERA: REDUVIIDAE): Rhodnius colombiensis Y Rhodnius prolixus; COLECTADOS EN EL DEPARTAMENTO DEL TOLIMA.: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
ANÁLISIS GENÉTICO DE CAPAS COLOMBIANAS DE Trypanosoma rangeli AISLADAS DE Rhodnius prolixus Y R. colombiensis UTILIZANDO ELECTROFORESIS DE ISOENZIMAS: Producción bibliográfica - Trabajos en eventos (Capítulos de memoria) - Resumen
","Asociación Colombiana De Ciencias Biológicas - A.C.C.B.: Patrocinadora
","JORGE ENRIQUE GARCIA MELO: Organizador
",2002
Jorge Enrique GARCIA MELO,Seminario de la Biotecnología Vegetal y sus costos, Seminario,IBAGUÉ   - UNIVERSIDAD DEL TOLIMA,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","JORGE ENRIQUE GARCIA MELO: Organizador
",1997
