Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,Introducción al análisis magnético y estructural de suelos cultivables con café en el departamento del Tolima, Investigación y desarrollo,2016/8,2017/8
NATURATU,La historia ambiental de la producción agroalimentaria en la cuenca del río Anaime, Investigación y desarrollo,2016/8,2018/9
NATURATU,Evaluación preliminar de la calidad atmosférica en zonas verdes de la ciudad de Ibagué a través del estudio de líquenes cortícolas, Investigación y desarrollo,2016/8,2018/7
NATURATU,Dirección de Instituciones de Educación Superior, Investigación y desarrollo,2016/8,2017/11
NATURATU,Dirección de Instituciones de Educación Superior, Investigación y desarrollo,2016/8,2017/11
NATURATU, PLAN DE MANEJO AMBIENTAL RESERVA NATURAL DE LA SOCIEDAD CIVIL LA ESTRELLA RNSC 010 11, Investigación y desarrollo,2016/8,2018/8
NATURATU,EVALUACIÓN DE ÓXIDOS ATMOSFÉRICOS Y SU RELACIÓN CON LA DIVERSIDAD LIQUÉNICA EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2016/8,2017/12
NATURATU,Efecto de la dosis subletal del pesticida neonicotinoide (Imidacloprid) sobre el desempeño fisiológico de reinas de Apis mellifera., Investigación y desarrollo,2016/7,2017/12
NATURATU,Efecto de un pesticida neonicotinoide (IMIDACLOPRID) sobre la tasa metabólica estándar de abejas obreras adultas de Apis mellifera., Investigación y desarrollo,2016/7,2017/11
NATURATU,EVALUACIÓN DE ÓXIDOS ATMOSFÉRICOS Y SU RELACIÓN CON LA DIVERSIDAD LIQUÉNICA EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2016/7,2017/8
NATURATU,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección., Investigación y desarrollo,2016/7,2018/7
NATURATU,"Plan de Manejo Ambiental de la Reserva Natural de la Sociedad Civil, Conjunto reservas Naturales de SUMICOL S.A La estrella RNSC01011", Investigación y desarrollo,2016/7,2017/5
NATURATU,Desarrollo de sensores electroquímicos para detectar colorantes sintéticos en alimentos de consumo masivo. Posible uso alternativo a las técnicas convencionales de detección., Investigación y desarrollo,2016/7,2018/11
NATURATU,Efecto del pesticida neonicotinoide (IMIDACLOPRID) sobre la tasa metabólica estándar de larvas  y pupas de Apis mellifera, Investigación y desarrollo,2016/6,2017/8
NATURATU,Caracterización de la bioacumulación de pesticidas en cultivos de cítricos (limón) mediante cromatografía de gases, Investigación y desarrollo,2016/2,Actual
NATURATU,"EXTRACCIÓN, SEPARACIÓN E IDENTIFICACIÓN CUALITATIVA DE LOS METABOLITOS SECUNDARIOS PRESENTES EN LÍQUENES DEL GÉNERO Usnea spp.", Investigación y desarrollo,2016/2,2017/2
NATURATU,Estructura y diversidad florística de un remanente de bosque Subandino de la microcuenca de la quebrada Ambalá en la ciudad de Ibagué, Investigación y desarrollo,2016/2,Actual
NATURATU,"Determinación del efeccto de pesticidas neonicotinoides y temperaturas termicas extremas, sobre el crecimiento y desempeño de larvas de Apis mellifera", Investigación y desarrollo,2016/2,2016/12
