Grupo,Nombre del Evento,Tipo,Lugar,Institución,Participación,Ámbito,Año,Mes,Día,Palabras,Area,Sectores
NATURATU,V Congreso Colombiano de Zoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,12,03 ,,,
NATURATU,V Congreso Colombiano de Zoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,12,03 ,,,
NATURATU,Congreso Colombiano de Zoología., Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,12,03 ,,,
NATURATU,V Congreso Colombiano de Zoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,12,03 ,,,
NATURATU,II Congreso Colombiano de Herpetología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2018,12,03 ,,,
NATURATU,23rd Iberoamerican Congres on Partern Recognition (CIARP-2018), Congreso ,Madrid, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,11,19 ,,,
NATURATU,8º Conferencia Latinoamericana y Caribeña de Ciencias Sociales, Congreso ,Buenos Aires, Consejo Latinoamericano De Ciencias Sociales - Clacso, Ponente, Internacional, 2018,11,19 ,,,
NATURATU,XIII SIMPOSIO LATINOAMERICANO DE QUÍMICA ANALÍTICA y AMBIENTAL (XIII LASEAC) y XIV ENCUENTRO DE QUÍMICA ANALÍTICA Y AMBIENTAL (XIV EQAA), Simposio ,La Serena, UNIVERSIDAD DE IBAGUÉ, Ponente Magistral, Internacional, 2018,11,12 ,,,
NATURATU,"Congreso Internacional de Orquídeas, Biodiversidad y Educación (CIOBE)", Congreso ,VILLAVICENCIO, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,11,03 ,,,
NATURATU,IEEE SENSORS 2018, Congreso ,Nueva Delhi, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2018,10,28 ,,,
NATURATU,Taller Básico de Taxidermia, Taller ,IBAGUÉ, Asociación Tolimense de Ornitología ANTHOCEPHALA," Asistente , Organizador", Nacional, 2018,10,25 ,,,
