Investigador,Nombre del producto,Tipo,Autores,Lugar,Año,Palabras,Aréa,Sectores
Natalie Charlotte Cortés Rendón,MOLÉCULAS LÍDERES A PARTIR DE LA QUIMIODIVERSIDAD NATURAL: ESTUDIO INTEGRADO DE LOS ALCALOIDES DE AMARYLLIDACEAE COMO POTENCIALES NEUROPROTECTORES,Por definir,"NATALIE CHARLOTTE CORTES RENDON,, EDISON OSORIO DURANGO,"," ,",2017,,,
Tatiana Hernández Cifuentes,Diagnóstico de los planes de internacionalización de las empresas del sector de biocombustibles en el departamento del Tolima y el acompañamiento de las instituciones de promoción,Por definir,"TATIANA HERNANDEZ CIFUENTES,"," ,",2015,,,
Tatiana Hernández Cifuentes,Ibagué Imaginada,Por definir,"TATIANA HERNANDEZ CIFUENTES,"," ,",2018,,,
Tatiana Hernández Cifuentes,"Plan de mejoramiento a implementar en la consolidación del sector de biocombustibles en el departamento del Tolima basada en la producción de biogás, a partir de las estrategias implementadas por Alemania en los planes de desarrollo de esta industria",Por definir,"TATIANA HERNANDEZ CIFUENTES,"," ,",2015,,,
Luz Adriana Sánchez Echeverri,The need to establish alternatives that replace asbestos in fibre cement compounds has motivated the present research. In this work cement composite boards (CCB) were manufactured with local materials: Guadua Angustifolia Kunth fibres and Portland cement type I. Guadua fibres apart from to be a loc,Por definir,"LUZ ADRIANA SANCHEZ ECHEVERRI,"," ,",2018,,,
Sergio Alejandro Balaguera Reina,Caracterización y diagnóstico de las poblaciones de félidos y otros mamíferos medianos y grandes en el departamento de la Guajira: estrategias de conservación a escala regional.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,"Manual de identificación. Muestreo Orden Lepidoptera (Mariposas), Finca piscícola el Paraíso.",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2006,,,
Sergio Alejandro Balaguera Reina,roceso de liquidación del zoocriadero de babilla (Caiman crocodilus fuscus) bajo licencia ambiental otorgada a la empresa Charry Narváez Ltda. Proyecto fase de desmantelamiento y abandono.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2011,,,
Sergio Alejandro Balaguera Reina,"Distribución espacial y descripción del Hábitat de los Crocodylia del Parque Nacional Natural Vía Isla de Salamanca, Caribe colombiano",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2007,,,
Sergio Alejandro Balaguera Reina,"Estrategia regional de conservación de bosque seco y manglar, hábitat del jaguar y el puma en la cuenca del Canal del Dique y el Caribe: Informe final del componente científico-",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,"Diagnóstico y acciones de conservación del manatí Trichechus manatus manatus y la babilla Caiman crocodilus, en la Cuenca media y baja del río Atrato.",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2008,,,
Sergio Alejandro Balaguera Reina,"Proceso de reubicación y monitoreo de dos individuos de ocelote (Leopardus pardalis) en la Reserva Natural Sanguaré (Sucre, Colombia).",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,Memoria explicativa del proceso conceptual de estructuración ecológica en ambientes marinos de Colombia. Escala 1:500.000. Mapa de Estructuración Ecológica- Componente Marino 2011.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2011,,,
Sergio Alejandro Balaguera Reina,Protocolo y guía técnico-científico para la planificación y ordenación de Sitios Ramsar relativo a humedales de importancia internacional en Colombia.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,Profundización de la caracterización y diagnóstico de las poblaciones de félidos y otros mamíferos medianos y grandes en zonas prioritarias de conservación en el canal del dique sector Sucre: aproximación al manejo sostenible de unidades productivas utilizando modelos de especies sombrilla.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,"Diagnóstico, evaluación y propuestas de solución a la problemática de conflictos ocasionados por Jaguar (Panthera onca) y Puma (Puma concolor) a actividades pecuarias en jurisdicción de la Corporación Autónoma Regional Del Cesar ¿CORPOCESAR, Departamento del Cesar, Colombia.",Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Sergio Alejandro Balaguera Reina,Plan de manejo Sitio Ramsar Sistema Delta Estuarino del Río Magdalena Ciénaga Grande De Santa Marta.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2009,,,
Sergio Alejandro Balaguera Reina,Estrategia para la conservación de la biodiversidad en Sucre: el estudio de los grandes y medianos mamíferos como herramientas de planificación a escala regional.,Por definir,"SERGIO ALEJANDRO BALAGUERA REINA,"," ,",2010,,,
Yair Guillermo Molina Martínez,"BIODIVERSIDAD FAUNÍSTICA Y FLORÍSTICA DE LA CUENCA MAYOR DEL RÍO GUALI BIODIVERSIDAD REGIONAL FASE VI. Grupo de Investigación en Zoología-Universidad del Tolima, Cortolima. Ibagué, Colombia. 680p.",Por definir,"GLADYS REINOSO FLOREZ,, FRANCISCO ANTONIO VILLA NAVARRO,, LOSADA PRADO S,, JORGE ENRIQUE GARCIA MELO,, MAURICIO ALEJANDRO VEJARANO D,, YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2010,,,
Yair Guillermo Molina Martínez,"Aves. Pp. 178- 264, En: Reinoso G., GARCIA ¿ MELO J., & M. VEJARANO (Eds.). Caracterización de la fauna y flora de tres humedales ubicados en las zonas bajas del departamento del Tolima (Cuenca del rio Magdalena). CORTOLIMA - Universidad del Tolima. Ibagué (Tolima), Colombia. 311",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2007,,,
Yair Guillermo Molina Martínez,"Aves. Pp. 270 ¿ 406. En: REINOSO-FLOREZ, G., VILLA-NAVARRO, F.A., GARCIA-MELO J.E y VEJARANO-DELGADO M.A. Caracterización de Fauna y Flora de los Páramos del Tolima, Grupo de Investigación en Zoología, Universidad del Tolima, Ibagué, Colombia.",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2009,,,
Yair Guillermo Molina Martínez,"Biodiversidad Faunística Y Florística De La Cuenca Mayor Del Río Guarino Biodiversidad Regional Fase Vi. Grupo de Investigación en Zoología-Universidad del Tolima, Cortolima. Ibagué, Colombia. 382 p",Por definir,"GLADYS REINOSO FLOREZ,, FRANCISCO ANTONIO VILLA NAVARRO,, JORGE ENRIQUE GARCIA MELO,, MAURICIO ALEJANDRO VEJARANO D,, YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2010,,,
Yair Guillermo Molina Martínez,"Aves. Pp. 291 ¿ 439. Pp. En: REINOSO-FLOREZ, G., VILLA-NAVARRO, F.A., LOSADA-PRADO, S., GARCIA-MELO J.E., VEJARANO-DELGADO M.A. Y MOLINA ¿ MARTÍNEZ Y. G. 2010 Biodiversidad Faunística Y Florística De La Cuenca Mayor Del Río Gualí, Biodiversidad Regional Fase VI. Grupo de Investigación en Zoología-UT",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2010,,,
Yair Guillermo Molina Martínez,"BIODIVERSIDAD FAUNÍSTICA Y FLORÍSTICA DE LA CUENCA MAYOR DEL RÍO SUMAPAZ (JURISDICCIÓN TOLIMA), BIODIVERSIDAD REGIONAL FASE VI. Grupo de Investigación en Zoología-Universidad del Tolima, Cortolima. Ibagué, Colombia. 378 p.",Por definir,"GLADYS REINOSO FLOREZ,, FRANCISCO ANTONIO VILLA NAVARRO,, JORGE ENRIQUE GARCIA MELO,, MAURICIO ALEJANDRO VEJARANO D,, YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2010,,,
Yair Guillermo Molina Martínez,"Aves. Pp 352 - 658. En: Reinoso G., VILLA F., ESQUIVEL H., GARCIA ¿ MELO J., & M. VEJARANO. Biodiversidad faunística y florística de la Cuenca del Río Totare. Biodiversidad Regional fase 3. Tomo II. CORTOLIMA - Universidad del Tolima. Ibagué (Tolima), Colombia.",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2007,,,
Yair Guillermo Molina Martínez,"Aves. En: Villa F. A., G. Reinoso, M. H. Bernal, S. Losada. Biodiversidad faunística de la Cuenca del Río Coello. Biodiversidad Regional fase 1. Tomo III. Pp 578 - 898. CORTOLIMA - Universidad del Tolima. Ibagué (Tolima), Colombia.",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2003,,,
Yair Guillermo Molina Martínez,"Aves. Pp. 177 - 346 En: REINOSO-FLOREZ, G., VILLA-NAVARRO, F.A., GARCIA-MELO J.E y VEJARANO-DELGADO M.A. Biodiversidad Faunística Y Florística De La Cuenca Mayor Del Río Saldaña (Subcuencas Mendarco y Guanábanos) Biodiversidad Regional Fase V. Grupo de Investigación en Zoología, U. Tolima, Colombia",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2009,,,
Yair Guillermo Molina Martínez,"Aves. Pp 200 - 229. En: REINOSO-FLOREZ, G., VILLA-NAVARRO, F.A., ESQUIVEL, H. E.,GARCIA-MELO, J.E. y VEJARANO-DELGADO, M.A. 2008. Biodiversidad Faunística Y Florística de la Cuenca del río Lagunillas - Biodiversidad Regional Fase IV. Grupo de Investigación en Zoología, Universidad del Tolima, Col.",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2008,,,
Yair Guillermo Molina Martínez,"Aves. Pp 333 - 470. REINOSO-FLOREZ, G., VILLA-NAVARRO, F.A., ESQUIVEL, H. E., GARCIA MELO, J.E. y VEJARANO-DELGADO, M.A. Biodiversidad Faunística y Florística de la cuenca mayor del rio Saldaña (subcuenca Anamichú) - Biodiversidad Regional Fase IV, Grupo de Investigación en Zoología, U. Tolima, Col.",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2008,,,
Yair Guillermo Molina Martínez,"INFORME TÉCNICO FINAL DE PROGRAMAS Y PROYECTOS DE CTeI: Estudio técnico y participativo de la biodiversidad aviar del municipio de Ibagué ¿ Tolima, como estrategia para la consolidación del ecoturismo de aves, la conservación de sus hábitats y el desarrollo de procesos de educación ambiental",Por definir,"YAIR GUILLERMO MOLINA MARTINEZ,"," ,",2018,,,
Miguel César Moreno Palacios,CARACTERIZACIÓN DE LA AVIFAUNA DEL PÁRAMO DE ANAIME (CAJAMARCA) COMO INSUMO PARA EL PROCESO DE DELIMITACIÓN DEL COMPLEJO DE PÁRAMOS CHILÍ-BARRAGÁN EN EL DEPARTAMENTO DEL TOLIMA,Por definir,"MIGUEL CESAR MORENO PALACIOS,"," ,",2013,,,
Juan Sebastian Trujillo Hernandez,WP4.5: Design Procedure to obtain new phases for permanent magnets,Por definir,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,"," ,",2018,,,
Juan Sebastian Trujillo Hernandez,WP4: Processing material for obtaining the permanent magnets,Por definir,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,"," ,",2017,,,
Juan Sebastian Trujillo Hernandez,WP5: Magnetic and microstructural characterization of samples and PMs,Por definir,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,"," ,",2018,,,
Juan Sebastian Trujillo Hernandez,WP2: Novel combinatorial techniques for the search of new permanent magnet phases,Por definir,"JUAN SEBASTIAN TRUJILLO HERNANDEZ,"," ,",2017,,,
