Investigador,Nombre del producto,Tipo,Jurado,Lugar,Programa,Orientado,Año,Palabras,Area,Sectores
Natalie Charlotte Cortés Rendón, IDENTIFICACION DE LOS METABOLITOS SECUNDARIOS DE LÍQUENES DEL GÉNERO Sticta PROCEDENTES DEL PÁRAMO DE ANAIME (ANAIME-TOLIMA), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"NATALIE CHARLOTTE CORTES RENDON,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental,,Esta información no suele aparecer en los CvLACs,,,
Carlos Eduardo Beltran Reyes, Diseño de una familia Ortonormal Wavelet basado en los principios de la matemática de la armonía, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"CARLOS EDUARDO BELTRAN REYES,", UNIVERSIDAD DE IBAGUÉ, ingenieria  electronica, Michael Alexander Ramírez Sierra,Esta información no suele aparecer en los CvLACs,,,
Luz Esther  González REYES," Estudio de la influencia de la cobertura de óxidos en la interacción radiación-materia en moléculas de grafeno, experimentos en sílice usando el método de Monte Carlo", Jurado/Comisiones evaluadoras de trabajo de grado - Doctorado,"LUZ ESTHER GONZALEZ REYES,", UNIVERSIDAD DEL QUINDÍO, FISICA, Jhon Jairo Prías Barragán,Esta información no suele aparecer en los CvLACs,,,
Luz Esther  González REYES, Radiation-matter interaction mechanisms in graphene- based materials, Jurado/Comisiones evaluadoras de trabajo de grado - Doctorado,"LUZ ESTHER GONZALEZ REYES,", UNIVERSIDAD DEL QUINDÍO, FISICA, Jhon Jairo Prias Barragán,Esta información no suele aparecer en los CvLACs,,,
Juan Carlos cardeño Ardila, sobre el truncamiento de una superficie reglada, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"JUAN CARLOS CARDENO ARDILA,", UNIVERSIDAD PEDAGÓGICA Y TECNOLÓGICA DE COLOMBIA, Ciencias, Luis enrique Hernández,Esta información no suele aparecer en los CvLACs,,"Ciencias Naturales -- Matemática -- Matemáticas Aplicadas,",
Tatiana Hernández Cifuentes, Una mirada infantil de los imaginarios urbanos de Ibagué desde la Fundación Sinfonía casa de arte, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"TATIANA HERNANDEZ CIFUENTES,", UNIVERSIDAD DE IBAGUÉ, Comunicación social y periodismo,  Manuela Navarrete Solórzano,Esta información no suele aparecer en los CvLACs,,,
Luz Adriana Sánchez Echeverri, DESARROLLO DE UN PROGRAMA DE PRODUCCIÓN MÁS LIMPIA EN UNA EMPRESA AGROINDUSTRIAL EN LA CIUDAD DE IBAGUÉ, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"LUZ ADRIANA SANCHEZ ECHEVERRI,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Sebastián Vila,Esta información no suele aparecer en los CvLACs,,,
Luz Adriana Sánchez Echeverri," Evaluación de las tazas de café mediante el método Honey en contraste al método húmedo, en búsqueda del mejoramiento de la calidad de la finca Versalles", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LUZ ADRIANA SANCHEZ ECHEVERRI,", UNIVERSIDAD DE IBAGUÉ, MAESTRÍA EN GERENCIA DE LA CALIDAD, Jennifer Katherine Villanueva Ocampo,Esta información no suele aparecer en los CvLACs,,,
Luz Adriana Sánchez Echeverri, THERMO-MECHANICAL PERFORMANCE OF A POLY-LACTIC ACID (PLA) COMPOSITE REINFORCED WITH RICE HUSK CELLULOSE, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LUZ ADRIANA SANCHEZ ECHEVERRI,", UNIVERSIDAD DE LOS ANDES, Maestría en Ingeniería Química, Diego Alejandro Torres Giraldo,Esta información no suele aparecer en los CvLACs,,,
Luz Adriana Sánchez Echeverri, EVALUACION TECNICA DEL USO DE BIOMASAS RESIDUALES PARA LA REMOCIÓN DE CROMO DE AGUAS RESULTANTES DE LOS PROCESOS DE CURTIEMBRES REALIZADOS EN EL LABORATORIO DE POSCOSECHA DE LA UNIVERSIDAD DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"LUZ ADRIANA SANCHEZ ECHEVERRI,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Agroalimentarias,,Esta información no suele aparecer en los CvLACs,,,
Natalia Andrea Salazar Camacho," ESTIMACION TEORICA DEL PROCESO DE TRANSFORMACIÓN DEL MANGO (mangifera indica) Y APROVECHAMIENTO DE SUS SUBPRODUCTOS EN LOS MUNICIPIOS DE CHICORAL, ESPINAL Y GUALANDAY, DPTO DEL TOLIMA.", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"NATALIA ANDREA SALAZAR CAMACHO,", UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA, Ingeniería de Alimentos, ALBA LEONOR GUERRERO RIVERA  y  MARIA ELENA CAMPOS CAMPOS,Esta información no suele aparecer en los CvLACs,,,
Natalia Andrea Salazar Camacho, Design of biorefineries with multiple raw materials for the use of agroindustrial waste in post-conflict zones in colombia, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"NATALIA ANDREA SALAZAR CAMACHO,", UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES, Ingeniería Química, Sara Piedrahita Rodríguez,Esta información no suele aparecer en los CvLACs,,,
Natalia Andrea Salazar Camacho," Diseño de un modelo de gestión de calidad basado en las buenas prácticas de manufactura (BPM) y sanidad alimentaria en el comedor escolar de la institución educativa Carlos Lleras Restrepo, Municipio de Coello - Tolima", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"NATALIA ANDREA SALAZAR CAMACHO,", UNIVERSIDAD DEL TOLIMA, MAESTRÍA EN CIENCIA Y TECNOLOGÍA AGROINDUSTRIAL, Cristopher Alberto Hernández Parra,Esta información no suele aparecer en los CvLACs,,,
Sergio Alejandro Balaguera Reina," EVALUACIÓN DE LA ABUNDANCIA Y EL HÁBITAT DE Crocodylus intermedius Y OTROS CROCODRILIANOS EN EL RIO BITA (VICHADA, COLOMBIA)", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"SERGIO ALEJANDRO BALAGUERA REINA,", UNIVERSIDAD NACIONAL DE COLOMBIA, Biología, Manuel Felipe Parra Torres,Esta información no suele aparecer en los CvLACs,,,
Sergio Alejandro Balaguera Reina, Efectos de la estructura del paisaje en la abundancia de mamíferos terrestres en paisajes dominados por palma de aceite, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"SERGIO ALEJANDRO BALAGUERA REINA,", PONTIFICIA UNIVERSIDAD JAVERIANA, Conservación y Uso de Biodiversidad, GINA MABEL OLARTE GONZÁLEZ,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, Composição e riqueza de aves consumidoras de frutos de sub-bosque em cinco latitudes em uma área de Mata Atlântica no estado do Rio de Janeiro, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", Universidade Federal Fluminense, Ciências Biológicas Bacharel, Livía Dias Calvalcante de Souza,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, DIAGNOSTICO DE VERTIMIENTOS DE AGUAS RESIDUALES EN EL RÍO GUALÍ DEL MUNICIPIO DE HONDA-TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, ALEXANDRA CATALINA CLAVIJO TORRES Y ASMILLY YUSMAIRI VALENCIA LARA,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, DIVERSIDAD Y COMPOSICIÓN DE LÍQUENES CORTÍCOLAS EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración ambiental, ANDRES TAFUR CASTAÑO y LUIS MIGUEL TRUJILLO OSPINA,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, CALIFICACIÓN GENERALIZADA DE LOS ASPECTOS AMBIENTALES DE LA CIUDAD DE IBAGUE, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Gestión Ambiental y Evaluación de Impacto Ambiental, JUAN PABLO LEYVA LONDOÑO,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, FORMULACIÓN DE UN PLAN DE MANEJO INTEGRAL DE RESIDUOS SOLIDOS EN LA EMPRESA GRUPO CAROLINA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración ambiental, GERMAN DAVID MARTINEZ BARRERO,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez," PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS PARA LA R.N. ¿ORQUIDEAS DEL TOLIMA""", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración ambiental, JESSICA ANDREA VALERO VARGAS,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, ANÁLISIS DEL CANTO DE Myiothlypis fulvicauda (Aves: Parulidae) EN CUERPOS DE AGUA CON DIFERENTE NIVEL DE RUIDO NATURAL DE IBAGUÉ-TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, DANIELA VILLAMIZAR SOTO,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, Aproximación a la biología reproductiva y ecología del perico paramuno (Leptosittaca branickii) en los bosques altoandinos del municipio de Genova - Quindio, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, Diego Andres Caranton Ayala,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez," Uso del Habitat y aspectos comportamentales del paujil de pico azul (Crax alberti) en la reserva Natural de las aves del Paujil, serrania de las Quinchas (Boyaca- Santander) Colombia", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, Luis Eduardo Urueña Guzman,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, Caracterización y uso de hábitat de la caminera tolimense (Leptotila conoveri) en la microcuenca de la quebrada Cay (Río Combeima), Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, Angelica Carvajal,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, Aproximación a la biología reproductiva Hapalopsittaca amazonina velezi en una localidad de la cordillera central, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, Jeyson Senen Sanabria Mejia,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, Caracterizacion de la avifauna de la cuenca del Río Prado, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DEL TOLIMA, Biología, Ronald Mauricio Parra,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, APLICACIÓN DE UN MÉTODO AGROECOLÓGICO PARA LA EVALUACIÓN DE SOSTENIBILIDAD EN SISTEMAS PRODUCTIVOS DE CAFÉ EN EL MUNICIPIO DEL LÍBANO-TOLIMA., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," Daniela Cifuentes Serrano,  Lina Maria Briñez Rodriguez",Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, EVALUACIÓN PRELIMINAR DE LA CALIDAD ATMOSFÉRICA EN ZONAS VERDES DE LA CALIDAD DE IBAGUÉ A TRAVÉS DEL ESTUDIO DE LÍQUENES CORTÍCOLAS., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," Cheryl Perez Martinez, Rafael Eduardo Gualteros Chala",Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, ESTRATEGIA PARA CONSOLIDAR LA INFORMACIÓN DE LOS RESIDUOS SÓLIDOS CLASIFICADOS EN LA UNIVERSIDAD DE IBAGUÉ., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Angie Shalom Lopez Garzon,Esta información no suele aparecer en los CvLACs,,,
Yair Guillermo Molina Martínez, EFECTO DEL PESTICIDA NEÓNICOTINOIDE (IMIDACLOPRID) SOBRE LA TASA METABÓLICA ESTÁNDAR DE LARVAS DE Apis mellifera., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"YAIR GUILLERMO MOLINA MARTINEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Ximena Alexandra Velandia Carvajal,Esta información no suele aparecer en los CvLACs,,,
Richard Clayton Doughman III, Reconstrucción de los procesos de comunicación y organización entre los habitantes de la vereda Cay parte baja a partir de sus emprendimiento, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"RICHARD CLAYTON DOUGHMAN III,", UNIVERSIDAD DE IBAGUÉ, COMUNICACION SOCIAL Y PERIODISMO, Maria José Cuesta Ospina y Nicolé Juliana Cerón Nonato,Esta información no suele aparecer en los CvLACs,,,
Richard Clayton Doughman III, El papel de las organizaciones internacionales en la erradicación del hambre en Colombia para el periodo 2010-2015: una mirada a partir de la seguridad alimentaria mundial, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"RICHARD CLAYTON DOUGHMAN III,", COLEGIO MAYOR NUESTRA SEÑORA DEL ROSARIO, Relaciones Internacionales, Paola Andrea Sanchez Gomez,Esta información no suele aparecer en los CvLACs,,"Ciencias Sociales -- Otras Ciencias Sociales -- Otras Ciencias Sociales,",
Richard Clayton Doughman III, CAMBIO TECNOLÓGICO EN COMUNIDADES GANADERAS DEL SUR DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"RICHARD CLAYTON DOUGHMAN III,", UNIVERSIDAD DEL TOLIMA, Maestría en Desarrollo Rural, CHRISTIAN HUMBERTO RODRIGUEZ LAVERDE,Esta información no suele aparecer en los CvLACs,,,
Richard Clayton Doughman III," EVALUACIÓN SOCIAL, ECONÓMICA Y AMBIENTAL DEL PROYECTO RED AGRICULTURA URBANA DE LA LOCALIDAD DE USAQUEN A FIN DE IDENTIFICAR EL IMPACTO GENERADO ENTRE LA COMUNIDAD", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"RICHARD CLAYTON DOUGHMAN III,", CORPORACIÓN UNIVERSITARIA MINUTO DE DIOS - UNIMINUTO, Ingeniería Agroecológica, William Guerra,Esta información no suele aparecer en los CvLACs,,"Ciencias Agrícolas -- Otras Ciencias Agrícolas -- Otras Ciencias Agrícolas,",
ALFREDO JOSE TORRES BENITEZ, IDENTIFICACIÓN QUÍMICA DE LOS METABOLITOS SECUNDARIOS DE Usnea rubicunda STIRTON Y EVALUACIÓN DE SU ACTIVIDAD ANTIOXIDANTE, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"ALFREDO JOSE TORRES BENITEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Kelly Johanna Urrea Vallejo,Esta información no suele aparecer en los CvLACs,,,
ALFREDO JOSE TORRES BENITEZ, EXTRACCIÓN E IDENTIFICACIÓN DE LOS METABOLITOS SECUNDARIOS PRESENTES EN LIQUEN Usnea subfloridana Stirton, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"ALFREDO JOSE TORRES BENITEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Angie Rocío Jiménez Carvajal,Esta información no suele aparecer en los CvLACs,,,
ALFREDO JOSE TORRES BENITEZ, EVALUACIÓN DE LA CANTIDAD DE NUTRIENTES DE HOJARASCA EN TRES FRAGMENTOS DE BOSQUE SECO TROPICAL EN EL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"ALFREDO JOSE TORRES BENITEZ,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Diana Cristina Capera - Adriana Lucía Oliveros,Esta información no suele aparecer en los CvLACs,,,
ALFREDO JOSE TORRES BENITEZ, ANÁLISIS DEL ÍNDICE NORMALIZADO DE DIFERENCIA DE VEGETACIÓN (NDVI) EN LA ZONA SUR DEL DEPARTAMENTO DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"ALFREDO JOSE TORRES BENITEZ,", UNIVERSIDAD DE IBAGUÉ, Ingeniería Civil, Diego Alejandro Segura Guzmán - Farly Stefany Bejarano Flórez,Esta información no suele aparecer en los CvLACs,,,
ALFREDO JOSE TORRES BENITEZ, ANÁLISIS DEL ÍNDICE NORMALIZADO DE DIFERENCIA DE VEGETACIÓN (NDVI) EN LA ZONA ORIENTE DEL DEPARTAMENTO DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"ALFREDO JOSE TORRES BENITEZ,", UNIVERSIDAD DE IBAGUÉ, Ingeniería Civil, Edwin Caicedo Sterling - Rossana Karina Peña Barrera,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," COMPOSICIÓN, ESTRUCTURA Y DIETA DE LA QUIROPTEROFAUNA (EMBALLONURIDAE, MORMOOPIDAE, VESPERTILIONIDAE Y MOLOSSIDAE) EN PAISAJES FRAGMENTADOS DE LAS ZONAS BAJAS DEL DEPARTAMENTO DEL TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Biológicas, Leidy Azucena Ramírez Fráncel,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," CONTRIBUCIÓN DE LOS HÁBITATS LINEALES (BOSQUES DE GALERÍA, CERCAS VIVAS Y CANALES ARBOLADOS) EN EL ESTABLECIMIENTO DE LA AVIFAUNA EN EL PAISAJE FRAGMENTADO DEL NORTE DEL TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, PAULA YOJANA MOJOCOA ESCOBAR,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," EXTRACCIÓN, SEPARACIÓN Y PURIFICACIÓN DE METABOLITOS SECUNDARIOS MAYORITARIOS DE LA SEMILLA DE Erythrina rubrinervia KUNTH", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," JOHANNA ALEXANDRA REYES ORTIZ, SIMON DAVID URREA FLORIAN",Esta información no suele aparecer en los CvLACs,,"Ciencias Naturales -- Ciencias Químicas -- Química Analítica,",
Miguel César Moreno Palacios, Obtención de Biogás a Partir de Residuos Vegetales Mediante Digestión Anaerobia en la Universidad de Ibagué, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, Neidy Angélica Matoma Campos,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," DIETA Y PATRONES DE ACTIVIDAD DEL MONO NOCTURNO (Aotus griseimembra) EN UN FRAGMENTO DE BOSQUE SECO TROPICAL EN EL MUNICIPIO DE AMBALEMA, DEPARTAMENTO DE TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Biológicas, EMMA YICEL GALINDO ESPINOSA,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," EFECTO DE BORDE SOBRE LA COMUNIDAD AVIAR EN BOSQUES DE NIEBLA UBICADOS EN LA VEREDA CHICORAL, MUNICIPIO DE LA CUMBRE, VALLE DEL CAUCA.", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, Carolina Díaz Jaramillo,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, APLICACIÓN DE UN MÉTODO AGROECOLÓGICO PARA LA EVALUACIÓN DE SOSTENIBILIDAD DE SISTEMAS PRODUCTIVOS DE CAFÉ EN EL MUNICIPIO DEL LÍBANO- TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, DANIELA CIFUENTES SERRANO y LINA MARÍA BRIÑEZ RODRÍGUEZ,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, TEMPORADA REPRODUCTIVA Y DENSIDAD POBLACIONAL EN TRES ESPECIES DE AVES DE LA FAMILIA THAMNOPHILIDAE DEL BOSQUE SECO TROPICAL EN EL DEPARTAMENTO DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, Cristhian David Gaitán García,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," Estructura y composición de aves en bosques andinos montanos bajos con Palma de cera (Ceroxylum quindiuense) y Robledal (Quercus humboldtii) en el municipio de Roncesvalles, Tolima", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, Santos Wilber Yate Molano,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," ACTIVIDAD VOCAL DE HEMBRAS, LLAMADAS DE POLLUELOS Y ÉXITO REPRODUCTIVO EN EL SICALIS CORONADO (Sicalis flaveola, AVES: THRAUPIDAE)", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL VALLE, MAESTRIA EN CIENCIAS- BIOLOGIA, INGRID DELGADO OSPINA,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," CARACTERES BIOACÚSTICOS Y MORFOLOGÍA DEL PICO EN POBLACIONES DE Arremonops conirostris EN GRADIENTES AMBIENTALES DEL ALTO VALLE DEL RÍO MAGDALENA, COLOMBIA", Jurado/Comisiones evaluadoras de trabajo de grado - Maestría,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Maestría en Ciencias Biológicas, JESSICA NATHALIA SÁNCHEZ GUZMÁN,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, EFECTO DEL PESTICIDA NEONICOTINOIDE (IMIDACLOPRID) SOBRE LA TASA DE CRECIMIENTO DE LARVAS Y PUPAS DE Apis mellifera, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, MARÍA ANDREA MORENO LÓPEZ,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, CARACTERIZACIÓN MORFOLÓGICA Y ACÚSTICA DE LOS ANUROS DE LA RESERVA FORESTAL BOSQUE DE GALILEA DE LA UNIVERSIDAD DEL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología," ANDRES VIUCHE LOZANO, MARÍA PAULA ENCISO CALLE",Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, EVALUACIÓN DE LA DESCOMPOSICIÓN DE HOJARASCA EN TRES FRAGMENTOS DE BOSQUE SECO TROPICAL EN EL TOLIMA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, ANDRES FELIPE ROZO BOHORQUEZ,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, ANALISIS DE ENLACES LINEALES CON PERSPECTIVAS DE CONECTIVIDAD Y CONSERVACION DE AVIFAUNA EN PAISAJES FRAGMENTADOS DE BOSQUE SECO TROPICAL (BST) DE LA ZONA CENTRO DEL DEPARTAMENTO DEL TOLIMA., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, JONNATHAN MANUEL GIL NOREÑA,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, EVALUACIÓN DE NEMATODOS DE VIDA LIBRE COMO INDICADORES DE CALIDAD Y SALUD DE SUELOS CAFETEROS, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental," NICOL ALEXA GAITAN DIAZ, LINA PAOLA BERMUDEZ VALDERRAMA",Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, EFECTO DEL RUIDO ANTROPOGÉNICO SOBRE LAS CARACTERÍSTICAS VOCALES DE LA MIRLA VENTRIBLANCA (Turdus leucomelas Spix 1824) EN LA CIUDAD DE IBAGUÉ, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE IBAGUÉ, Administración Ambiental, ROSSMAYRA MARULANDA BEJARANO,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, VARIACIÓN EN LA COMPOSICIÓN DE LAS COMUNIDADES DE AVES ASOCIADAS A CULTIVOS DE LA ORINOQUIA COLOMBIANA, Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DE LOS LLANOS, Biología, DIEGO FERNANDO CADENA HERNÁNDEZ,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios, Análisis del canto de Myiothlypis fulvicauda (Aves: Parulidae) en quebradas de Ibagué-Tolima con diferente nivel de ruido., Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, Daniela Villamizar Soto,Esta información no suele aparecer en los CvLACs,,,
Miguel César Moreno Palacios," VARIABILIDAD EN EL CANTO DEL CUCARACHERO VENTRINEGRO (Pheugopedius fasciatoventris) EN ESCENARIOS AFECTADOS POR RUIDO VEHICULAR, IBAGUÉ - TOLIMA", Jurado/Comisiones evaluadoras de trabajo de grado - Pregrado,"MIGUEL CESAR MORENO PALACIOS,", UNIVERSIDAD DEL TOLIMA, Biología, Juan Camilo Váquiro García,Esta información no suele aparecer en los CvLACs,,,
